structure_code,temperature_k,source,temperature_column,temperature_remark,line_number
CORMAZ,173.0,temperature_column,173.0,,122
COYYOH,100.0,temperature_column,100.0,,123
COYZOI,100.0,temperature_column,100.0,,124
CUBROJ,100.0,temperature_column,100.0,,125
CUFTAA,173.0,temperature_column,173.0,,126
CUHBOY,173.0,temperature_column,173.0,,127
CUJLUP,148.0,temperature_column,148.0,,128
CUKNOM,150.0,temperature_column,150.0,,129
CUMGEY,150.0,temperature_column,150.0,,130
CUQFEB,100.0,temperature_column,100.0,,131
CUTYEY,100.0,temperature_column,100.0,,132
CUVTAP,90.0,temperature_column,90.0,,133
CUXWEX10,295.0,temperature_column,295.0,,134
DAFMUT,150.0,temperature_column,150.0,,135
DAGHUS,110.0,temperature_column,110.0,,136
DAGJEE,110.0,temperature_column,110.0,,137
DAVNOF,123.0,temperature_column,123.0,,138
DAWNIZ,120.0,temperature_column,120.0,,139
DAYYAD,143.0,temperature_column,143.0,,140
DEBXUF,100.0,temperature_column,100.0,,141
DEGLAC,295.0,temperature_column,295.0,,142
DEGWOC,103.0,temperature_column,103.0,,143
DEQHIR,150.0,temperature_column,150.0,,144
DEXJUN,180.0,temperature_column,180.0,,145
DEZGOH,170.0,temperature_column,170.0,,146
DICHED,150.0,temperature_column,150.0,,147
DIHLOX,173.0,temperature_column,173.0,,148
DIHTIY,200.0,temperature_column,200.0,,149
DIPROJ,295.0,temperature_column,295.0,,150
DIQMIB,123.0,temperature_column,123.0,,151
DIVJAW,120.0,temperature_column,120.0,,152
DOBLEO,100.0,temperature_column,100.0,,153
DOBVEX,100.0,temperature_column,100.0,,154
DOMFER,293.0,temperature_column,293.0,,155
DOPNIG,193.0,temperature_column,193.0,,156
DOQSEI,200.0,temperature_column,200.0,,157
DUCJOD,123.0,temperature_column,123.0,,158
DUGMEZ,125.0,temperature_column,125.0,,159
DUKBIX,100.0,temperature_column,100.0,,160
DULLEB,295.0,temperature_column,295.0,,161
DULYAL,98.0,temperature_column,98.0,,162
EBENII,120.0,temperature_column,120.0,,163
ECACET,110.0,temperature_column,110.0,,164
ECUJAO,193.0,temperature_column,193.0,,165
EDIVIW,173.0,temperature_column,173.0,,166
EDIWAQ,293.0,temperature_column,293.0,,167
EDOBUV,198.0,temperature_column,198.0,,168
EDORAT,100.0,temperature_column,100.0,,169
EFOJUH,123.0,temperature_column,123.0,,170
EGEDUS,100.0,temperature_column,100.0,,171
EHEFAY,203.0,temperature_column,203.0,,172
EHEVEV,100.0,temperature_column,100.0,,173
EHEVIZ,100.0,temperature_column,100.0,,174
EJURUY,173.0,temperature_column,173.0,,175
EKACUR,100.0,temperature_column,100.0,,176
ELEMOX,203.0,temperature_column,203.0,,177
EMEMUH,123.0,temperature_column,123.0,,178
EPICOX,150.0,temperature_column,150.0,,179
EQAMUF,173.0,temperature_column,173.0,,180
EQUDUS,173.0,temperature_column,173.0,,181
EROTUA,291.0,temperature_column,291.0,,182
ESAKOY,198.0,temperature_column,198.0,,183
ESEKUJ,100.0,temperature_column,100.0,,184
ESUJAD,223.0,temperature_column,223.0,,185
ETEGOZ,293.0,temperature_column,293.0,,186
ETIMUQ,100.0,temperature_column,100.0,,187
ETOTUF,170.0,temperature_column,170.0,,188
ETUNIS,100.0,temperature_column,100.0,,189
EVIHAU,120.0,temperature_column,120.0,,190
EWIXIR,90.0,temperature_column,90.0,,191
EWOMEJ,100.0,temperature_column,100.0,,192
EXUZED,293.0,temperature_column,293.0,,193
EZECOD,100.0,temperature_column,100.0,,194
EZUMUI,123.0,temperature_column,123.0,,195
FACGOI,100.0,temperature_column,100.0,,196
FACWOY,100.0,temperature_column,100.0,,197
FAFFIF,100.0,temperature_column,100.0,,198
FAGMIK,193.0,temperature_column,193.0,,199
FAGTIU,100.0,temperature_column,100.0,,200
FAHWER,110.0,temperature_column,110.0,,201
FALTIY,173.0,temperature_column,173.0,,202
FAMHOR,100.0,temperature_column,100.0,,203
FAMTUL,123.0,temperature_column,123.0,,204
FASSIC,123.0,temperature_column,123.0,,205
FAWGIV,150.0,temperature_column,150.0,,206
FEHSIU,160.0,temperature_column,160.0,,207
FEJQES,100.0,temperature_column,100.0,,208
FEKNIT,150.0,temperature_column,150.0,,209
FENXAA,100.0,temperature_column,100.0,,210
FEQHOY,295.0,temperature_column,295.0,,211
FEXBUI,100.0,temperature_column,100.0,,212
FEXQUU,193.0,temperature_column,193.0,,213
FIFFOP,295.0,temperature_column,295.0,,214
FIJJOA,150.0,temperature_column,150.0,,215
FINWIL,120.0,temperature_column,120.0,,216
FIQPOM,100.0,temperature_column,100.0,,217
FIRZEM,173.0,temperature_column,173.0,,218
FOFKOD,100.0,temperature_column,100.0,,219
FOHSEA,295.0,temperature_column,295.0,,220
FOJDIU,150.0,temperature_column,150.0,,221
FOJWUZ,100.0,temperature_column,100.0,,222
FONMEA,295.0,temperature_column,295.0,,223
FOQRUY,295.0,temperature_column,295.0,,224
FORMOP,298.0,temperature_column,298.0,,225
FOSJIG,295.0,temperature_column,295.0,,226
FOZFAC,150.0,temperature_column,150.0,,227
FOZSAR,130.0,temperature_column,130.0,,228
FUDMOJ,150.0,temperature_column,150.0,,229
FUGSEI,120.0,temperature_column,120.0,,230
FULFIC,150.0,temperature_column,150.0,,231
FULFOI,150.0,temperature_column,150.0,,232
FULGEZ,150.0,temperature_column,150.0,,233
FURJIM,100.0,temperature_column,100.0,,234
FUTZIG,100.0,temperature_column,100.0,,235
FUYVON,100.0,temperature_column,100.0,,236
GABBUK,100.0,temperature_column,100.0,,237
GADXER,150.0,temperature_column,150.0,,238
GAFLEI,150.0,temperature_column,150.0,,239
GAFYAR,173.0,temperature_column,173.0,,240
GAHMUZ,173.0,temperature_column,173.0,,241
GAKXAU,100.0,temperature_column,100.0,,242
GANHOT,293.0,temperature_column,293.0,,243
GAQMOD,150.0,temperature_column,150.0,,244
GASPIB,100.0,temperature_column,100.0,,245
GAWVEF,295.0,temperature_column,295.0,,246
GAXDUE,193.0,temperature_column,193.0,,247
GAZMOM,90.0,temperature_column,90.0,,248
GEDDUP,253.0,temperature_column,253.0,,249
GEMFOU,90.0,temperature_column,90.0,,250
GIGLIS,187.0,temperature_column,187.0,,251
GIHDIK,200.0,temperature_column,200.0,,252
GIKBIO,100.0,temperature_column,100.0,,253
